TIME,GEO,GEO_LABEL,UNIT,UNIT_LABEL,Value
2000,EU28,European Union - 28 countries,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",18800
2000,EU27_2019,European Union - 27 countries (from 2019),PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",18400
2000,BE,Belgium,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",23200
2000,BE1,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",47100
2000,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",47100
2000,BE100,Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",47100
2000,BE2,Vlaams Gewest,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",22900
2000,BE21,Prov. Antwerpen,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",27300
2000,BE211,Arr. Antwerpen,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",29600
2000,BE212,Arr. Mechelen,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",22900
2000,BE213,Arr. Turnhout,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",25400
2000,BE22,Prov. Limburg (BE),PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",19400
2000,BE221,Arr. Hasselt,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",23600
2000,BE222,Arr. Maaseik,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",16700
2000,BE223,Arr. Tongeren,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",13700
2000,BE23,Prov. Oost-Vlaanderen,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",20000
2000,BE231,Arr. Aalst,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",14700
2000,BE232,Arr. Dendermonde,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",16000
2000,BE233,Arr. Eeklo,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",15000
2000,BE234,Arr. Gent,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",25600
2000,BE235,Arr. Oudenaarde,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",18300
2000,BE236,Arr. Sint-Niklaas,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",20000
2000,BE24,Prov. Vlaams-Brabant,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",23400
2000,BE241,Arr. Halle-Vilvoorde,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",26300
2000,BE242,Arr. Leuven,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",19900
2000,BE25,Prov. West-Vlaanderen,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",21800
2000,BE251,Arr. Brugge,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",22300
2000,BE252,Arr. Diksmuide,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",15800
2000,BE253,Arr. Ieper,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",17300
2000,BE254,Arr. Kortrijk,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",24400
2000,BE255,Arr. Oostende,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",17600
2000,BE256,Arr. Roeselare,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",23300
2000,BE257,Arr. Tielt,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",25200
2000,BE258,Arr. Veurne,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",22000
2000,BE3,Région wallonne,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",17000
2000,BE31,Prov. Brabant Wallon,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",22900
2000,BE310,Arr. Nivelles,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",22900
2000,BE32,Prov. Hainaut,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",15400
2000,BE321,Arr. Ath,PPS_EU27_2019_HAB,"Purchasing power standard (PPS, EU27 from 2019), per inhabitant",12700
